c_charge_degree,race,age_cat,sex,priors_count,days_b_screening_arrest,decile_score,result
F,Other,Greaterthan45,Male,0,-1.0,1,0
F,African-American,25-45,Male,0,-1.0,3,1
F,African-American,Lessthan25,Male,4,-1.0,4,1
M,Other,25-45,Male,0,0.0,1,0
F,Caucasian,25-45,Male,14,-1.0,6,1
F,Other,25-45,Male,3,-1.0,4,0
M,Caucasian,25-45,Female,0,-1.0,1,0
F,Caucasian,25-45,Male,0,-1.0,4,0
M,African-American,Lessthan25,Male,3,0.0,6,1
M,Caucasian,25-45,Female,0,0.0,1,0
F,African-American,25-45,Male,0,-1.0,4,0
F,Caucasian,Greaterthan45,Female,1,-20.0,1,1
F,African-American,25-45,Male,7,22.0,3,1
M,Hispanic,25-45,Male,0,0.0,1,0
F,African-American,25-45,Male,3,-1.0,10,0
F,Caucasian,25-45,Male,6,-1.0,5,1
F,Caucasian,25-45,Male,5,-1.0,3,1
F,African-American,Greaterthan45,Male,13,-1.0,6,1
F,African-American,Lessthan25,Male,1,-1.0,9,1
M,Caucasian,25-45,Male,0,0.0,2,1
F,Caucasian,Lessthan25,Female,0,-2.0,4,0
F,Hispanic,Lessthan25,Male,1,0.0,4,1
M,Caucasian,25-45,Male,1,-1.0,1,0
M,Other,25-45,Male,0,-1.0,3,0
F,African-American,25-45,Male,8,-1.0,3,1
F,African-American,25-45,Male,5,-1.0,7,1
F,African-American,25-45,Male,0,0.0,10,1
F,Caucasian,25-45,Male,9,0.0,9,1
F,African-American,25-45,Male,4,-1.0,8,1
F,Caucasian,Greaterthan45,Male,0,-1.0,1,0
F,Other,Greaterthan45,Male,7,-1.0,3,1
M,Caucasian,25-45,Female,4,-1.0,5,1
M,Caucasian,Lessthan25,Male,1,0.0,2,1
F,African-American,25-45,Male,21,0.0,9,1
M,Caucasian,25-45,Male,0,0.0,2,0
F,African-American,Lessthan25,Female,2,-1.0,8,0
M,African-American,Greaterthan45,Male,2,-1.0,1,0
M,Caucasian,25-45,Male,2,-1.0,2,1
F,African-American,Greaterthan45,Female,7,-1.0,2,0
F,African-American,25-45,Male,0,0.0,7,1
M,Caucasian,25-45,Male,9,-1.0,10,1
F,African-American,25-45,Male,13,-1.0,8,1
M,Caucasian,Greaterthan45,Male,0,0.0,1,0
F,African-American,25-45,Male,0,0.0,4,0
F,Caucasian,25-45,Male,1,-24.0,2,1
F,Other,25-45,Female,0,-1.0,2,0
F,African-American,25-45,Male,15,-1.0,5,0
F,African-American,Lessthan25,Male,2,-1.0,4,1
M,Hispanic,25-45,Male,0,0.0,7,0
M,African-American,Greaterthan45,Male,4,-1.0,1,0
F,Caucasian,Greaterthan45,Male,8,-13.0,5,0
F,African-American,25-45,Male,5,-1.0,3,0
F,African-American,25-45,Male,15,-1.0,10,1
M,Caucasian,25-45,Male,4,-1.0,2,1
F,African-American,Lessthan25,Male,1,-1.0,4,1
F,African-American,25-45,Male,4,-1.0,9,1
