priors_count,days_b_screening_arrest,decile_score,sex=Female,sex=Male,age_cat=25-45,Greaterthan45,age_cat=Lessthan25,c_charge_degree=F,c_charge_degree=M,race,result
-0.677247416,0.155206702,-1.195942083,0,1,0,1,0,1,0,0,0
-0.677247416,0.155206702,-0.49419497,0,1,1,0,0,1,0,0,1
0.156302704,0.155206702,-0.143321413,0,1,0,0,1,1,0,0,1
-0.677247416,0.351302655,-1.195942083,0,1,1,0,0,0,1,0,0
2.240178004,0.155206702,0.5584257,0,1,1,0,0,1,0,1,1
-0.052084826,0.155206702,-0.143321413,0,1,1,0,0,1,0,0,0
-0.677247416,0.155206702,-1.195942083,1,0,1,0,0,0,1,1,0
-0.677247416,0.155206702,-0.143321413,0,1,1,0,0,1,0,1,0
-0.052084826,0.351302655,0.5584257,0,1,0,0,1,0,1,0,1
-0.677247416,0.351302655,-1.195942083,1,0,1,0,0,0,1,1,0
-0.677247416,0.155206702,-0.143321413,0,1,1,0,0,1,0,0,0
-0.468859886,-3.570616402,-1.195942083,1,0,0,1,0,1,0,1,1
0.781465294,4.665413618,-0.49419497,0,1,1,0,0,1,0,0,1
-0.677247416,0.351302655,-1.195942083,0,1,1,0,0,0,1,0,0
-0.052084826,0.155206702,1.961919926,0,1,1,0,0,1,0,0,0
0.573077764,0.155206702,0.207552143,0,1,1,0,0,1,0,1,1
0.364690234,0.155206702,-0.49419497,0,1,1,0,0,1,0,1,1
2.031790474,0.155206702,0.5584257,0,1,0,1,0,1,0,0,1
-0.468859886,0.155206702,1.61104637,0,1,0,0,1,1,0,0,1
-0.677247416,0.351302655,-0.845068527,0,1,1,0,0,0,1,1,1
-0.677247416,-0.040889251,-0.143321413,1,0,0,0,1,1,0,1,0
-0.468859886,0.351302655,-0.143321413,0,1,0,0,1,1,0,0,1
-0.468859886,0.155206702,-1.195942083,0,1,1,0,0,0,1,1,0
-0.677247416,0.155206702,-0.49419497,0,1,1,0,0,0,1,0,0
0.989852824,0.155206702,-0.49419497,0,1,1,0,0,1,0,0,1
0.364690234,0.155206702,0.909299256,0,1,1,0,0,1,0,0,1
-0.677247416,0.351302655,1.961919926,0,1,1,0,0,1,0,0,1
1.198240354,0.351302655,1.61104637,0,1,1,0,0,1,0,1,1
0.156302704,0.155206702,1.260172813,0,1,1,0,0,1,0,0,1
-0.677247416,0.155206702,-1.195942083,0,1,0,1,0,1,0,1,0
0.781465294,0.155206702,-0.49419497,0,1,0,1,0,1,0,0,1
0.156302704,0.155206702,0.207552143,1,0,1,0,0,0,1,1,1
-0.468859886,0.351302655,-0.845068527,0,1,0,0,1,0,1,1,1
3.698890714,0.351302655,1.61104637,0,1,1,0,0,1,0,0,1
-0.677247416,0.351302655,-0.845068527,0,1,1,0,0,0,1,1,0
-0.260472356,0.155206702,1.260172813,1,0,0,0,1,1,0,0,0
-0.260472356,0.155206702,-1.195942083,0,1,0,1,0,0,1,0,0
-0.260472356,0.155206702,-0.845068527,0,1,1,0,0,0,1,1,1
0.781465294,0.155206702,-0.845068527,1,0,0,1,0,1,0,0,0
-0.677247416,0.351302655,0.909299256,0,1,1,0,0,1,0,0,1
1.198240354,0.155206702,1.961919926,0,1,1,0,0,0,1,1,1
2.031790474,0.155206702,1.260172813,0,1,1,0,0,1,0,0,1
-0.677247416,0.351302655,-1.195942083,0,1,0,1,0,0,1,1,0
-0.677247416,0.351302655,-0.143321413,0,1,1,0,0,1,0,0,0
-0.468859886,-4.355000214,-0.845068527,0,1,1,0,0,1,0,1,1
-0.677247416,0.155206702,-0.845068527,1,0,1,0,0,1,0,0,0
2.448565534,0.155206702,0.207552143,0,1,1,0,0,1,0,0,0
-0.260472356,0.155206702,-0.143321413,0,1,0,0,1,1,0,0,1
-0.677247416,0.351302655,0.909299256,0,1,1,0,0,0,1,0,0
0.156302704,0.155206702,-1.195942083,0,1,0,1,0,0,1,0,0
0.989852824,-2.197944732,0.207552143,0,1,0,1,0,1,0,1,0
0.364690234,0.155206702,-0.49419497,0,1,1,0,0,1,0,0,0
2.448565534,0.155206702,1.961919926,0,1,1,0,0,1,0,0,1
0.156302704,0.155206702,-0.845068527,0,1,1,0,0,0,1,1,1
-0.468859886,0.155206702,-0.143321413,0,1,0,0,1,1,0,0,1
0.156302704,0.155206702,1.61104637,0,1,1,0,0,1,0,0,1
-0.677247416,0.351302655,-1.195942083,0,1,0,1,0,0,1,0,0
0.573077764,0.351302655,0.5584257,0,1,1,0,0,1,0,0,1
-0.677247416,0.155206702,-1.195942083,0,1,1,0,0,0,1,0,0
-0.677247416,0.351302655,-1.195942083,1,0,0,1,0,0,1,0,0
0.573077764,0.155206702,-1.195942083,0,1,0,1,0,1,0,0,1
-0.468859886,0.155206702,-0.143321413,0,1,0,0,1,1,0,0,0
-0.468859886,0.155206702,-0.143321413,0,1,1,0,0,0,1,0,0
0.364690234,0.351302655,0.5584257,0,1,1,0,0,1,0,0,1
-0.468859886,0.155206702,0.5584257,0,1,1,0,0,1,0,1,1
-0.260472356,-2.590136638,-0.845068527,0,1,1,0,0,1,0,0,0
-0.468859886,0.351302655,-0.49419497,0,1,0,0,1,0,1,0,1
-0.677247416,0.155206702,1.260172813,0,1,0,0,1,1,0,1,0
-0.468859886,0.155206702,-0.143321413,1,0,1,0,0,1,0,0,1
-0.677247416,0.155206702,-0.845068527,0,1,1,0,0,1,0,0,0
-0.468859886,0.155206702,-0.845068527,0,1,1,0,0,0,1,0,0
0.989852824,0.155206702,1.961919926,0,1,1,0,0,0,1,0,1
-0.677247416,0.155206702,-1.195942083,0,1,0,1,0,1,0,0,1
2.240178004,0.155206702,1.961919926,0,1,1,0,0,1,0,0,1
-0.677247416,0.155206702,0.207552143,0,1,0,0,1,1,0,0,1
-0.260472356,0.351302655,1.61104637,0,1,0,0,1,1,0,0,1
-0.468859886,0.155206702,-0.845068527,1,0,1,0,0,0,1,0,0
1.198240354,0.351302655,0.909299256,0,1,1,0,0,1,0,0,1
0.781465294,0.351302655,1.260172813,0,1,1,0,0,1,0,1,1
-0.468859886,0.351302655,0.5584257,0,1,0,0,1,1,0,0,1
1.198240354,0.155206702,1.260172813,0,1,1,0,0,1,0,1,1
-0.677247416,0.155206702,0.909299256,1,0,0,0,1,1,0,1,0
-0.260472356,-0.040889251,-1.195942083,0,1,1,0,0,1,0,1,1
-0.677247416,0.351302655,-1.195942083,1,0,0,1,0,0,1,1,0
-0.677247416,-0.040889251,-1.195942083,1,0,1,0,0,0,1,0,0
-0.468859886,-1.609656874,-0.143321413,0,1,0,0,1,0,1,0,1
-0.468859886,0.155206702,-0.845068527,0,1,1,0,0,1,0,0,0
-0.677247416,0.155206702,-1.195942083,1,0,1,0,0,1,0,1,1
